,DTA_S15 Data,DTA_S16 Data,DTA_S17A Data,DTA_S17B Data,KW_S15 Data,KW_S16 Data,KW_S17A Data,KW_S17B Data,TILN_S15 Data,TILN_S16 Data,TILN_S17A Data,TILN_S17B Data,PLHT_S15 Data,PLHT_S16 Data,PLHT_S17A Data,PLHT_S17B Data
W22 x TIL14 BC1S4# Line_A001,NA,74,88,NA,NA,NA,NA,NA,NA,1.75,1.875,NA,NA,NA,158.625,NA
W22 x TIL14 BC1S4# Line_A002,NA,82,95,NA,NA,0.11066,0.0971,NA,NA,1.875,3,NA,NA,NA,175.25,NA
W22 x TIL14 BC1S4# Line_A003,NA,71,80,NA,NA,0.1838,0.17736,NA,NA,0.625,1.75,NA,NA,NA,135.875,NA
W22 x TIL14 BC1S4# Line_A005,NA,73,86,NA,NA,0.21798,0.17306,NA,NA,0,1.25,NA,NA,NA,148.875,NA
W22 x TIL14 BC1S4# Line_A006,NA,71,81,NA,NA,0.15704,0.15138,NA,NA,1,1.75,NA,NA,NA,152,NA
W22 x TIL14 BC1S4# Line_A007,NA,76,90,NA,NA,0.2026,0.1439,NA,NA,1.875,2.75,NA,NA,NA,164.625,NA
W22 x TIL14 BC1S4# Line_A008,NA,70,88,NA,NA,0.21842,0.17124,NA,NA,0.428571429,2.25,NA,NA,NA,156.625,NA
W22 x TIL14 BC1S4# Line_A009,NA,74,87,NA,NA,0.23198,0.18628,NA,NA,0.25,1.375,NA,NA,NA,148.875,NA
W22 x TIL14 BC1S4# Line_A010,NA,74,87,NA,NA,0.142425,0.13674,NA,NA,0.25,1.625,NA,NA,NA,148.875,NA
W22 x TIL14 BC1S4# Line_A012,NA,73,83,NA,NA,0.17768,0.14698,NA,NA,0.75,1.625,NA,NA,NA,163.375,NA
W22 x TIL14 BC1S4# Line_A013,NA,91,NA,NA,NA,0.092,0.11725,NA,NA,1.5,2.875,NA,NA,NA,157.625,NA
W22 x TIL14 BC1S4# Line_A014,NA,73,84,NA,NA,0.21288,0.19286,NA,NA,0.125,1,NA,NA,NA,153.125,NA
W22 x TIL14 BC1S4# Line_A015,NA,79,94,NA,NA,0.16428,0.10322449,NA,NA,1.375,1.5,NA,NA,NA,166.25,NA
W22 x TIL14 BC1S4# Line_A016,NA,85,97,NA,NA,0.19546,0.13486,NA,NA,2.125,1.25,NA,NA,NA,167.875,NA
W22 x TIL14 BC1S4# Line_A017,NA,69,80,NA,NA,0.2012,0.19904,NA,NA,0.75,1.375,NA,NA,NA,171,NA
W22 x TIL14 BC1S4# Line_A018,NA,69,81,NA,NA,0.19546,0.20288,NA,NA,1.125,1.5,NA,NA,NA,162.75,NA
W22 x TIL14 BC1S4# Line_A019,NA,81,94,NA,NA,0.14466,0.14124,NA,NA,1.375,2.125,NA,NA,NA,155.375,NA
W22 x TIL14 BC1S4# Line_A020,NA,78,92,NA,NA,0.18858,0.17436,NA,NA,0.375,1.625,NA,NA,NA,159.875,NA
W22 x TIL14 BC1S4# Line_A021,NA,75,88,NA,NA,0.1755,0.12428,NA,NA,1.5,3,NA,NA,NA,156.625,NA
W22 x TIL14 BC1S4# Line_A022,NA,70,87,NA,NA,0.12794,0.13596,NA,NA,2.125,3.625,NA,NA,NA,150,NA
W22 x TIL14 BC1S4# Line_A023,NA,71,85,NA,NA,0.19512,0.15284,NA,NA,1.5,1.625,NA,NA,NA,124.25,NA
W22 x TIL14 BC1S4# Line_A024,NA,69,81,NA,NA,0.15168,0.17666,NA,NA,0.375,1.875,NA,NA,NA,166.75,NA
W22 x TIL14 BC1S4# Line_A025,NA,72,85,NA,NA,0.1655,0.1424,NA,NA,1.125,1.625,NA,NA,NA,143.125,NA
W22 x TIL14 BC1S4# Line_A027,NA,75,86,NA,NA,0.18714,0.19224,NA,NA,0.125,1,NA,NA,NA,115.625,NA
W22 x TIL14 BC1S4# Line_A029,NA,79,95,NA,NA,0.19712,0.15618,NA,NA,0,1.375,NA,NA,NA,180.375,NA
W22 x TIL14 BC1S4# Line_A030,NA,80,101,NA,NA,0.183421053,0.1935,NA,NA,0.25,2.5,NA,NA,NA,135.25,NA
